iter	RMSE
0	43.65403158
1	39.96211985
2	36.52500563
3	33.44584096
4	30.68616771
5	28.2437125
6	26.07434839
7	24.12464403
8	22.40833011
9	20.88366765
10	19.53945404
11	18.38151856
12	17.39088571
13	16.50827982
14	15.74425312
15	15.08160919
16	14.5065913
17	14.0186211
18	13.60340566
19	13.24621248
20	12.94264266
21	12.69042378
22	12.4810356
23	12.30859402
24	12.15381855
25	12.03018764
26	11.92743856
27	11.83480313
28	11.76006442
29	11.69828838
30	11.64720765
31	11.60506597
32	11.56691979
33	11.53418571
34	11.50771563
35	11.48558111
36	11.4651673
37	11.44467774
38	11.43059533
39	11.41738594
40	11.40547228
41	11.39381665
42	11.38580415
43	11.37628204
44	11.36880576
45	11.36327061
46	11.35686381
47	11.35038711
48	11.34556184
49	11.34122737
50	11.33553897
51	11.33013608
52	11.32349038
53	11.31754099
54	11.31279512
55	11.30679781
56	11.30141949
57	11.29961951
58	11.29324504
59	11.2884388
60	11.28503668
61	11.28198101
62	11.27850935
63	11.27429164
64	11.26879299
65	11.26565913
66	11.2621281
67	11.25789408
68	11.25314656
69	11.24857378
70	11.2437874
71	11.24068945
72	11.23676595
73	11.2319358
74	11.22842625
75	11.22383751
76	11.21943159
77	11.21423264
78	11.21089926
79	11.20786785
80	11.20545086
81	11.2010736
82	11.19657597
83	11.19167158
84	11.18816588
85	11.1848853
86	11.18074182
87	11.17749405
88	11.17533506
89	11.17224814
90	11.16948218
91	11.16634471
92	11.16305402
93	11.15771051
94	11.15510641
95	11.15176892
96	11.1485954
97	11.14570841
98	11.1439957
99	11.14110615
