iter	Passed	Remaining
0	214	21218
1	248	12177
2	267	8636
3	284	6826
4	305	5801
5	328	5145
6	355	4722
7	382	4401
8	402	4068
9	428	3858
10	454	3676
11	473	3469
12	485	3249
13	500	3072
14	514	2913
15	529	2780
16	542	2650
17	556	2536
18	569	2426
19	584	2336
20	597	2248
21	610	2166
22	624	2089
23	635	2013
24	650	1951
25	664	1891
26	683	1848
27	700	1801
28	716	1755
29	732	1708
30	747	1663
31	771	1640
32	796	1618
33	813	1579
34	830	1542
35	845	1503
36	863	1470
37	882	1440
38	907	1418
39	922	1383
40	936	1346
41	948	1310
42	963	1276
43	979	1247
44	995	1216
45	1009	1185
46	1022	1153
47	1036	1122
48	1050	1093
49	1063	1063
50	1079	1037
51	1092	1008
52	1106	980
53	1119	953
54	1133	927
55	1149	902
56	1161	875
57	1178	853
58	1195	830
59	1215	810
60	1240	792
61	1258	771
62	1275	749
63	1298	730
64	1311	705
65	1329	684
66	1352	666
67	1369	644
68	1385	622
69	1405	602
70	1438	587
71	1471	572
72	1500	554
73	1518	533
74	1534	511
75	1552	490
76	1569	468
77	1587	447
78	1604	426
79	1630	407
80	1648	386
81	1663	365
82	1679	343
83	1702	324
84	1762	311
85	1782	290
86	1800	269
87	1819	248
88	1841	227
89	1909	212
90	1941	192
91	1966	171
92	1992	150
93	2014	128
94	2038	107
95	2062	85
96	2077	64
97	2092	42
98	2111	21
99	2142	0
