iter	Passed	Remaining
0	269	26691
1	370	18144
2	454	14696
3	531	12750
4	614	11666
5	689	10798
6	769	10216
7	846	9731
8	983	9942
9	1387	12488
10	1692	13689
11	1935	14195
12	2024	13546
13	2107	12945
14	2198	12460
15	2281	11976
16	2364	11543
17	2872	13085
18	3016	12861
19	3111	12446
20	3182	11973
21	3248	11516
22	3311	11087
23	3376	10692
24	3443	10330
25	3532	10053
26	3610	9760
27	3683	9473
28	3748	9176
29	3812	8895
30	3877	8629
31	3939	8370
32	3995	8111
33	4054	7869
34	4111	7636
35	4170	7414
36	4243	7224
37	4300	7016
38	4359	6819
39	4419	6629
40	4477	6443
41	4533	6261
42	4593	6089
43	4648	5916
44	4711	5757
45	4770	5599
46	4827	5443
47	4891	5298
48	4944	5146
49	4997	4997
50	5055	4857
51	5114	4720
52	5173	4587
53	5241	4464
54	5302	4338
55	5366	4216
56	5417	4086
57	5473	3963
58	5527	3841
59	5586	3724
60	5642	3607
61	5705	3497
62	5760	3383
63	5821	3274
64	5880	3166
65	5933	3056
66	5988	2949
67	6042	2843
68	6098	2739
69	6150	2635
70	6208	2535
71	6267	2437
72	6322	2338
73	6381	2242
74	6439	2146
75	6499	2052
76	6552	1957
77	6610	1864
78	6667	1772
79	6729	1682
80	6788	1592
81	6841	1501
82	6914	1416
83	6974	1328
84	7028	1240
85	7080	1152
86	7135	1066
87	7189	980
88	7253	896
89	7302	811
90	7363	728
91	7427	645
92	7497	564
93	7568	483
94	7640	402
95	7712	321
96	7788	240
97	7846	160
98	7902	79
99	7961	0
